home,score,away,year
Germany,5-1,Scotland,2024
Hungary,1-3,Switzerland,2024
Germany,2-0,Hungary,2024
Scotland,1-1,Switzerland,2024
Switzerland,1-1,Germany,2024
Scotland,0-1,Hungary,2024
Spain,3-0,Croatia,2024
Italy,2-1,Albania,2024
Croatia,2-2,Albania,2024
Spain,1-0,Italy,2024
Albania,Match 27,Spain,2024
Croatia,Match 28,Italy,2024
Slovenia,1-1,Denmark,2024
Serbia,0-1,England,2024
Slovenia,1-1,Serbia,2024
Denmark,1-1,England,2024
England,Match 29,Slovenia,2024
Denmark,Match 30,Serbia,2024
Poland,1-2,Netherlands,2024
Austria,0-1,France,2024
Poland,1-3,Austria,2024
Netherlands,0-0,France,2024
Netherlands,Match 31,Austria,2024
France,Match 32,Poland,2024
Romania,3-0,Ukraine,2024
Belgium,0-1,Slovakia,2024
Slovakia,1-2,Ukraine,2024
Belgium,2-0,Romania,2024
Slovakia,Match 33,Romania,2024
Ukraine,Match 34,Belgium,2024
Turkey,3-1,Georgia,2024
Portugal,2-1,Czech Republic,2024
Georgia,1-1,Czech Republic,2024
Turkey,0-3,Portugal,2024
Georgia,Match 35,Portugal,2024
Czech Republic,Match 36,Turkey,2024
Switzerland,Match 38,Runner-up Group B,2024
Germany,Match 37,Runner-up Group C,2024
Winner Group C,Match 40,3rd Group D/E/F,2024
Spain,Match 39,3rd Group A/D/E/F,2024
Runner-up Group D,Match 42,Runner-up Group E,2024
Portugal,Match 41,3rd Group A/B/C,2024
Winner Group E,Match 43,3rd Group A/B/C/D,2024
Winner Group D,Match 44,Runner-up Group F,2024
Winner Match 39,Match 45,Winner Match 37,2024
Winner Match 41,Match 46,Winner Match 42,2024
Winner Match 40,Match 48,Winner Match 38,2024
Winner Match 43,Match 47,Winner Match 44,2024
Winner Match 45,Match 49,Winner Match 46,2024
Winner Match 47,Match 50,Winner Match 48,2024
Winner Match 49,Match 51,Winner Match 50,2024
